Issuer ID,Issuer Name,Industry,Issuer Credit Rating,Issuance ID,Type of Issuance,Issue Date,Issuance Size,Currency,Market Risk Score,Counterparty Risk Score,Liquidity Risk Score,Geopolitical Risk Score,Regulatory Compliance Flags,Audit Trail,Approver ID,Approval Date,Compliance Check Status,P/E Ratio,Debt-to-Equity Ratio,Operating Margin,Interest Coverage Ratio,Historical Volatility,Past Issuance Performance
1,Issuer_1,Energy,BBB,1001,Bond,2020-01-31,4691966.54,GBP,2.13,9.85,0.85,9.33,None,Audit details 0,39,2020-01-31,Compliant,27.93,0.66,48.67,2.51,12.93,Neutral
2,Issuer_2,Consumer Goods,AAA,1641,Stock,2020-02-29,15979153.95,EUR,9.46,3.77,5.97,9.91,None,Audit details 1,3,2020-02-29,Non-Compliant,8.42,0.56,48.44,1.94,7.46,Neutral
3,Issuer_3,Healthcare,BBB,3267,Stock,2020-03-31,10354640.53,USD,7.81,7.5,9.86,2.05,Minor,Audit details 2,32,2020-03-31,Under Review,28.76,2.34,37.48,6.73,18.51,Neutral
4,Issuer_4,Consumer Goods,AA,2589,Bond,2020-04-30,14155267.99,CNY,1.13,3.93,5.37,3.79,Severe,Audit details 3,10,2020-04-30,Compliant,16.15,1.05,6.5,7.36,21.2,Positive
5,Issuer_5,Consumer Goods,AAA,1854,Bond,2020-05-31,24778713.84,CNY,9.31,8.29,9.24,9.26,None,Audit details 4,10,2020-05-31,Under Review,9.63,0.17,37.91,1.28,5.01,Negative
6,Issuer_6,Finance,B,2759,Stock,2020-06-30,19261656.49,JPY,9.74,5.69,2.36,7.22,None,Audit details 5,19,2020-06-30,Non-Compliant,18.55,2.91,1.23,9.43,5.03,Positive
7,Issuer_7,Healthcare,BB,4296,Stock,2020-07-31,20339881.87,EUR,9.96,0.64,7.6,0.48,Minor,Audit details 6,46,2020-07-31,Non-Compliant,26.82,2.65,1.11,1.47,1.1,Neutral
8,Issuer_8,Healthcare,A,3432,Stock,2020-08-31,42366443.9,USD,0.56,0.37,5.31,7.82,None,Audit details 7,34,2020-08-31,Compliant,23.31,2.78,16.18,5.87,22.09,Neutral
9,Issuer_9,Healthcare,BBB,4474,Stock,2020-09-30,46570824.91,JPY,7.37,1.34,7.21,8.28,Moderate,Audit details 8,33,2020-09-30,Non-Compliant,25.16,2.98,24.43,7.38,19.91,Neutral
10,Issuer_10,Consumer Goods,B,2661,Stock,2020-10-31,4450390.41,GBP,5.46,0.14,0.62,7.51,Moderate,Audit details 9,23,2020-10-31,Compliant,21.47,0.52,38.52,8.84,14.24,Positive
11,Issuer_11,Energy,A,2153,Stock,2020-11-30,11237017.16,JPY,7.06,0.75,1.48,8.0,Severe,Audit details 10,28,2020-11-30,Non-Compliant,22.31,1.19,34.16,7.43,25.33,Positive
12,Issuer_12,Healthcare,A,2076,Bond,2020-12-31,33886032.32,JPY,9.69,6.92,1.33,8.25,None,Audit details 11,32,2020-12-31,Non-Compliant,26.23,2.27,22.3,8.22,24.17,Neutral
13,Issuer_13,Consumer Goods,AAA,2707,Stock,2021-01-31,18573692.28,EUR,6.88,5.34,6.87,1.86,Minor,Audit details 12,7,2021-01-31,Compliant,11.24,2.09,13.68,4.06,17.56,Positive
14,Issuer_14,Finance,A,3777,Stock,2021-02-28,13454018.8,GBP,8.37,7.5,8.44,2.36,Moderate,Audit details 13,29,2021-02-28,Compliant,17.24,0.46,49.86,8.33,26.05,Positive
15,Issuer_15,Energy,BB,2695,Bond,2021-03-31,15469238.83,JPY,8.67,9.13,7.5,6.34,Minor,Audit details 14,8,2021-03-31,Compliant,10.53,2.45,21.31,1.72,6.18,Neutral
16,Issuer_16,Finance,B,2733,Bond,2021-04-30,16804987.45,USD,8.38,5.85,0.3,9.08,Minor,Audit details 15,1,2021-04-30,Non-Compliant,29.69,0.67,22.57,9.05,3.36,Positive
17,Issuer_17,Energy,A,2439,Bond,2021-05-31,42584819.95,USD,4.26,7.26,8.67,3.16,Moderate,Audit details 16,3,2021-05-31,Non-Compliant,28.6,0.67,8.18,5.93,8.09,Negative
18,Issuer_18,Consumer Goods,AAA,3294,Bond,2021-06-30,7694445.24,CNY,2.23,7.57,3.54,5.88,Minor,Audit details 17,24,2021-06-30,Under Review,5.99,1.61,39.74,8.36,1.71,Negative
19,Issuer_19,Technology,BB,1835,Stock,2021-07-31,35736638.85,GBP,3.97,3.78,3.97,6.83,Moderate,Audit details 18,23,2021-07-31,Compliant,22.64,1.78,34.68,5.07,15.94,Negative
20,Issuer_20,Energy,AA,4510,Stock,2021-08-31,28088178.87,GBP,8.92,2.41,1.05,4.52,Minor,Audit details 19,8,2021-08-31,Non-Compliant,28.13,1.74,11.04,6.79,28.1,Negative
21,Issuer_21,Finance,B,1202,Stock,2021-09-30,15528997.04,CNY,1.47,2.05,7.37,7.14,Moderate,Audit details 20,47,2021-09-30,Non-Compliant,9.51,0.27,4.12,5.74,1.18,Neutral
22,Issuer_22,Consumer Goods,A,4255,Stock,2021-10-31,21569261.97,JPY,5.13,2.51,1.82,9.0,None,Audit details 21,37,2021-10-31,Compliant,19.2,2.63,34.02,7.58,3.66,Neutral
23,Issuer_23,Energy,AAA,1122,Stock,2021-11-30,13554140.24,GBP,2.33,2.75,5.64,6.24,Severe,Audit details 22,3,2021-11-30,Under Review,27.89,0.8,32.73,1.73,13.57,Neutral
24,Issuer_24,Technology,AA,1400,Stock,2021-12-31,30964171.83,USD,5.81,2.07,8.41,5.4,Moderate,Audit details 23,33,2021-12-31,Compliant,5.85,0.39,13.66,1.54,28.02,Negative
25,Issuer_25,Technology,AA,1766,Bond,2022-01-31,4998114.84,USD,8.63,8.78,0.89,4.39,Moderate,Audit details 24,28,2022-01-31,Under Review,22.44,2.67,47.54,3.22,9.48,Negative
26,Issuer_26,Healthcare,BBB,1293,Stock,2022-02-28,1254058.28,EUR,8.8,7.57,5.35,5.77,Severe,Audit details 25,47,2022-02-28,Non-Compliant,12.43,2.87,7.55,2.44,15.22,Positive
27,Issuer_27,Healthcare,BB,3327,Bond,2022-03-31,31766826.33,GBP,2.37,0.47,2.33,3.55,Moderate,Audit details 26,8,2022-03-31,Under Review,28.11,2.59,21.62,8.85,1.25,Positive
28,Issuer_28,Finance,A,4908,Bond,2022-04-30,10519423.72,JPY,9.08,2.69,3.43,3.91,Moderate,Audit details 27,34,2022-04-30,Non-Compliant,29.28,2.43,47.18,2.97,4.45,Negative
29,Issuer_29,Energy,AAA,3931,Stock,2022-05-31,4476104.93,CNY,5.92,0.22,4.74,5.32,Minor,Audit details 28,35,2022-05-31,Compliant,28.61,1.97,20.99,9.78,29.6,Negative
30,Issuer_30,Energy,BBB,4681,Bond,2022-06-30,20442407.53,CNY,3.5,4.98,3.55,0.67,Severe,Audit details 29,32,2022-06-30,Compliant,16.86,1.65,31.93,4.03,28.95,Negative
31,Issuer_31,Healthcare,BB,1197,Stock,2022-07-31,3487658.02,JPY,7.08,4.76,6.49,2.29,None,Audit details 30,24,2022-07-31,Compliant,26.55,0.26,19.88,2.64,0.15,Negative
32,Issuer_32,Energy,BBB,4029,Bond,2022-08-31,44444240.3,EUR,4.82,8.31,4.8,5.43,Moderate,Audit details 31,14,2022-08-31,Under Review,26.11,1.23,13.71,8.11,28.55,Positive
33,Issuer_33,Energy,B,2930,Stock,2022-09-30,2353221.82,CNY,3.78,3.08,5.84,4.32,Severe,Audit details 32,32,2022-09-30,Non-Compliant,12.98,1.12,49.2,6.93,19.17,Negative
34,Issuer_34,Technology,BB,4582,Bond,2022-10-31,29364379.88,GBP,7.05,8.16,7.37,3.33,Minor,Audit details 33,46,2022-10-31,Compliant,25.72,0.78,20.47,5.48,26.04,Positive
35,Issuer_35,Healthcare,BB,3799,Stock,2022-11-30,22485232.03,EUR,2.49,9.68,5.58,7.31,None,Audit details 34,43,2022-11-30,Compliant,5.93,2.17,44.7,6.0,13.64,Negative
36,Issuer_36,Consumer Goods,A,3191,Stock,2022-12-31,33929280.63,GBP,3.3,0.88,5.87,6.94,Severe,Audit details 35,16,2022-12-31,Non-Compliant,19.91,1.49,11.5,7.47,15.47,Negative
37,Issuer_37,Healthcare,BB,1608,Stock,2023-01-31,17079480.71,USD,4.34,7.92,5.64,1.67,None,Audit details 36,4,2023-01-31,Compliant,10.75,0.24,10.66,3.06,14.67,Negative
38,Issuer_38,Consumer Goods,BBB,4272,Stock,2023-02-28,8597039.22,EUR,2.54,5.9,3.79,8.79,None,Audit details 37,37,2023-02-28,Non-Compliant,8.01,0.66,1.56,9.97,20.01,Positive
39,Issuer_39,Technology,BB,2147,Stock,2023-03-31,49110203.53,CNY,4.05,4.8,3.37,4.95,None,Audit details 38,21,2023-03-31,Non-Compliant,6.92,2.05,32.58,9.77,4.19,Positive
40,Issuer_40,Finance,A,1186,Bond,2023-04-30,42107741.6,EUR,5.71,4.21,9.0,7.41,Moderate,Audit details 39,14,2023-04-30,Non-Compliant,22.41,0.23,18.43,6.85,0.9,Neutral
41,Issuer_41,Energy,A,4397,Bond,2023-05-31,43159826.3,EUR,7.41,7.85,6.08,5.73,Moderate,Audit details 40,31,2023-05-31,Non-Compliant,13.5,2.55,43.22,2.8,9.24,Negative
42,Issuer_42,Technology,B,3511,Bond,2023-06-30,13262316.67,EUR,7.67,6.39,2.44,9.98,Minor,Audit details 41,48,2023-06-30,Non-Compliant,23.12,1.49,23.66,7.12,21.14,Neutral
43,Issuer_43,Energy,BBB,4420,Stock,2023-07-31,2902901.99,EUR,8.23,8.05,4.98,7.52,Minor,Audit details 42,18,2023-07-31,Under Review,6.63,1.44,48.41,1.65,6.06,Neutral
44,Issuer_44,Finance,AA,2794,Bond,2023-08-31,15860010.22,GBP,7.44,9.03,3.3,7.07,Severe,Audit details 43,7,2023-08-31,Compliant,12.88,1.78,9.28,1.28,20.2,Positive
45,Issuer_45,Finance,AA,1659,Stock,2023-09-30,27317038.93,USD,6.81,6.17,9.34,7.79,Minor,Audit details 44,10,2023-09-30,Under Review,18.49,2.47,43.43,3.32,29.1,Positive
46,Issuer_46,Technology,BB,3811,Stock,2023-10-31,17005910.85,JPY,2.38,9.8,0.08,1.43,None,Audit details 45,7,2023-10-31,Compliant,24.77,1.04,38.83,5.16,2.82,Neutral
47,Issuer_47,Finance,B,4002,Bond,2023-11-30,41565581.19,EUR,4.0,6.08,2.25,2.05,None,Audit details 46,33,2023-11-30,Under Review,12.97,2.03,38.55,8.81,20.18,Negative
