Transaction ID,Date,Amount,Currency,Type,Status,Compliance Flag,Audit ID,Audit Date,Reviewer ID,Decision,Notes,Incident ID,Incident Date,Risk Level,Action Taken,Regulation,Compliance Status
1,2023-01-01,5533.25,EUR,Mobile Payment,Pending,True,1001,2023-01-01,1015,Approved,All good,2001,2023-01-01,Medium,No Action,PSD2,Compliant
2,2023-01-01,7180.37,EUR,ACH,Flagged,False,1002,2023-01-01,1008,Rejected,Check details,2002,2023-01-01,High,Escalation,PSD2,Non-Compliant
3,2023-01-01,6067.36,GBP,ACH,Completed,True,1003,2023-01-01,1003,Escalated,All good,2003,2023-01-01,Medium,Review Requested,Dodd-Frank Act,Non-Compliant
4,2023-01-01,5494.34,USD,ACH,Pending,False,1004,2023-01-01,1003,Rejected,High amount,2004,2023-01-01,Low,No Action,Dodd-Frank Act,Non-Compliant
5,2023-01-01,4294.18,GBP,ACH,Flagged,True,1005,2023-01-01,1017,Escalated,All good,2005,2023-01-01,High,No Action,BSA,Non-Compliant
6,2023-01-01,6494.35,EUR,Wire Transfer,Pending,False,1006,2023-01-01,1014,Rejected,High amount,2006,2023-01-01,High,Review Requested,Dodd-Frank Act,Non-Compliant
7,2023-01-01,4432.11,USD,ACH,Flagged,False,1007,2023-01-01,1014,Rejected,All good,2007,2023-01-01,High,Escalation,BSA,Non-Compliant
8,2023-01-01,8928.55,USD,ACH,Completed,False,1008,2023-01-01,1002,Approved,High amount,2008,2023-01-01,Medium,Review Requested,PSD2,Compliant
9,2023-01-01,9640.26,USD,ACH,Completed,True,1009,2023-01-01,1014,Approved,Check details,2009,2023-01-01,Low,Escalation,PSD2,Non-Compliant
10,2023-01-01,3896.07,GBP,ACH,Pending,False,1010,2023-01-01,1011,Approved,High amount,2010,2023-01-01,Low,Escalation,Dodd-Frank Act,Non-Compliant
11,2023-01-01,7938.08,GBP,Wire Transfer,Completed,False,1011,2023-01-01,1014,Approved,High amount,2011,2023-01-01,Medium,Review Requested,Dodd-Frank Act,Non-Compliant
12,2023-01-01,5336.06,GBP,Wire Transfer,Pending,True,1012,2023-01-01,1007,Rejected,All good,2012,2023-01-01,High,Escalation,PSD2,Non-Compliant
13,2023-01-01,5723.64,EUR,Mobile Payment,Pending,False,1013,2023-01-01,1019,Approved,Check details,2013,2023-01-01,Low,No Action,PSD2,Non-Compliant
