CustomerID,Age,EmploymentStatus,AnnualIncome,CreditScore,DebtToIncomeRatio,LoanAmount,LoanPurpose,LoanDuration,RepaymentHistory,ComplianceFlag,RiskLevel
1,56,Unemployed,42933.0,848,0.01,15304,Mortgage,15,1,Non-Compliant,Medium
2,69,Unemployed,66126.0,440,0.1,35341,Personal,30,0,Compliant,High
3,46,Unemployed,59481.0,487,0.27,9758,Personal,15,1,Non-Compliant,High
4,32,Employed,35318.0,427,0.27,22010,Personal,10,0,Compliant,Low
5,60,Unemployed,55278.0,500,0.41,36658,Personal,5,4,Compliant,High
6,25,Employed,51991.0,426,0.55,42782,Mortgage,30,0,Non-Compliant,Low
7,38,Self-Employed,75525.0,556,0.38,6375,Mortgage,15,1,Compliant,Medium
8,56,Unemployed,70747.0,846,0.57,38949,Education,20,3,Compliant,High
9,36,Employed,26993.0,493,0.53,27092,Personal,10,1,Non-Compliant,Low
10,40,Employed,62916.0,403,0.35,5490,Mortgage,5,2,Compliant,High
11,28,Unemployed,68977.0,834,0.5,8729,Mortgage,10,2,Non-Compliant,Low
12,28,Self-Employed,58390.0,564,0.39,10974,Mortgage,20,2,Compliant,Medium
13,41,Self-Employed,44968.0,683,0.05,24680,Personal,5,2,Non-Compliant,Low
14,53,Self-Employed,86200.0,559,0.44,23324,Education,20,4,Non-Compliant,High
15,57,Employed,59771.0,713,0.06,36334,Mortgage,10,3,Compliant,Low
16,41,Employed,79648.0,657,0.36,26398,Personal,15,3,Non-Compliant,High
17,20,Employed,70272.0,374,0.42,39650,Mortgage,10,1,Compliant,Medium
18,39,Employed,56962.0,654,0.04,26292,Mortgage,10,0,Compliant,Low
19,19,Self-Employed,41304.0,487,0.14,40755,Education,10,1,Non-Compliant,High
20,41,Unemployed,49638.0,589,0.55,43353,Mortgage,30,1,Compliant,High
21,61,Employed,46671.0,344,0.37,8159,Mortgage,20,1,Non-Compliant,High
22,47,Employed,31782.0,382,0.15,37626,Personal,20,1,Compliant,Low
23,55,Self-Employed,59754.0,422,0.41,34351,Personal,20,3,Compliant,Low
24,19,Unemployed,73510.0,657,0.36,42298,Education,30,0,Non-Compliant,Low
25,38,Unemployed,45525.0,827,0.3,22065,Personal,15,1,Compliant,Medium
26,50,Self-Employed,82454.0,365,0.59,26638,Personal,10,3,Compliant,High
27,29,Self-Employed,26636.0,674,0.41,6073,Education,15,1,Compliant,High
28,39,Unemployed,65815.0,461,0.23,23771,Mortgage,30,2,Compliant,Medium
29,61,Employed,75072.0,679,0.48,40461,Education,20,1,Compliant,Medium
30,42,Unemployed,46939.0,657,0.53,47330,Personal,10,1,Compliant,Low
31,66,Self-Employed,47209.0,487,0.08,34320,Education,5,4,Compliant,Low
32,44,Employed,65641.0,621,0.12,9340,Mortgage,5,2,Compliant,Low
33,59,Employed,57589.0,749,0.13,39924,Education,15,0,Non-Compliant,Low
34,45,Self-Employed,20038.0,773,0.41,21184,Personal,20,1,Compliant,Low
35,33,Self-Employed,37349.0,312,0.36,45734,Personal,5,0,Compliant,Low
36,32,Self-Employed,49796.0,483,0.37,7580,Education,15,2,Non-Compliant,Medium
37,64,Unemployed,29454.0,410,0.56,45025,Mortgage,30,1,Non-Compliant,Medium
38,68,Unemployed,42887.0,807,0.47,33967,Education,15,4,Non-Compliant,Medium
39,61,Employed,29829.0,589,0.08,7159,Mortgage,15,3,Compliant,High
40,69,Self-Employed,44447.0,594,0.21,18900,Mortgage,15,4,Non-Compliant,High
41,20,Employed,44950.0,750,0.26,16440,Education,10,4,Non-Compliant,Low
42,54,Employed,55276.0,514,0.24,19678,Mortgage,15,3,Compliant,Medium
43,68,Employed,48623.0,326,0.4,17021,Personal,15,3,Compliant,High
44,24,Employed,57541.0,530,0.54,11772,Education,10,3,Non-Compliant,High
45,38,Self-Employed,55753.0,620,0.18,6627,Mortgage,10,1,Non-Compliant,Medium
46,26,Employed,65470.0,532,0.33,49432,Personal,30,0,Compliant,High
47,56,Self-Employed,63106.0,736,0.47,13219,Education,20,0,Compliant,High
48,35,Self-Employed,61521.0,832,0.25,28464,Personal,5,3,Compliant,Medium
49,21,Unemployed,96573.0,702,0.1,35232,Personal,5,4,Compliant,High
50,42,Self-Employed,55211.0,352,0.28,47481,Personal,15,2,Compliant,Medium
51,31,Unemployed,88903.0,612,0.03,13488,Mortgage,30,3,Non-Compliant,High
52,67,Self-Employed,56183.0,580,0.57,39949,Education,15,4,Compliant,Medium
53,26,Self-Employed,48757.0,330,0.04,49362,Education,5,4,Compliant,High
54,43,Self-Employed,44402.0,636,0.26,44932,Mortgage,10,1,Compliant,High
55,19,Unemployed,72645.0,482,0.32,23981,Education,20,1,Compliant,Medium
56,37,Unemployed,74607.0,322,0.59,5901,Personal,30,0,Compliant,High
57,45,Employed,58996.0,843,0.1,27444,Education,10,0,Non-Compliant,Medium
58,64,Unemployed,67003.0,745,0.07,47058,Mortgage,20,2,Compliant,Medium
59,24,Unemployed,30841.0,373,0.01,23061,Personal,30,2,Non-Compliant,High
60,61,Unemployed,26768.0,309,0.09,7881,Mortgage,30,2,Compliant,Low
61,25,Unemployed,68694.0,783,0.12,34863,Personal,5,2,Non-Compliant,High
62,64,Employed,48097.0,755,0.38,10622,Personal,10,4,Non-Compliant,Low
63,52,Unemployed,61239.0,459,0.13,6378,Education,30,4,Compliant,Low
64,31,Self-Employed,39240.0,313,0.01,22632,Personal,30,0,Compliant,High
65,34,Self-Employed,74854.0,477,0.5,33311,Mortgage,20,1,Compliant,Low
66,53,Unemployed,26893.0,711,0.22,10650,Education,5,1,Compliant,Medium
67,67,Unemployed,29216.0,352,0.21,47224,Mortgage,15,3,Compliant,Medium
68,57,Self-Employed,71664.0,707,0.18,12036,Personal,5,4,Non-Compliant,Low
69,21,Self-Employed,10852.0,321,0.59,44255,Mortgage,15,2,Compliant,Medium
70,19,Employed,55678.0,329,0.1,27499,Mortgage,10,2,Compliant,High
71,23,Self-Employed,48390.0,559,0.54,42016,Personal,10,3,Non-Compliant,Medium
72,59,Self-Employed,38960.0,504,0.47,9603,Education,30,1,Compliant,Low
73,21,Unemployed,47000.0,358,0.05,32773,Mortgage,10,2,Non-Compliant,High
74,46,Self-Employed,37287.0,770,0.59,24937,Personal,30,1,Compliant,Medium
75,35,Employed,73133.0,765,0.16,17632,Education,5,3,Non-Compliant,High
76,43,Self-Employed,77067.0,311,0.06,35607,Education,10,1,Compliant,Low
77,61,Unemployed,39713.0,589,0.5,31337,Education,5,1,Non-Compliant,Medium
78,51,Unemployed,54132.0,653,0.42,5220,Mortgage,5,1,Non-Compliant,High
79,27,Self-Employed,30123.0,374,0.37,9818,Mortgage,10,2,Compliant,High
80,53,Unemployed,66095.0,740,0.09,12349,Mortgage,5,0,Compliant,Medium
81,31,Employed,65705.0,540,0.29,10618,Education,10,4,Compliant,High
82,48,Employed,45571.0,453,0.47,32464,Mortgage,10,1,Non-Compliant,High
83,65,Self-Employed,50253.0,395,0.18,47624,Personal,10,1,Non-Compliant,Low
84,32,Self-Employed,48593.0,593,0.19,42344,Mortgage,15,1,Non-Compliant,Low
85,25,Self-Employed,25723.0,508,0.0,23255,Mortgage,5,0,Compliant,Low
86,31,Unemployed,73190.0,642,0.1,29299,Education,20,3,Compliant,Low
87,40,Employed,38495.0,387,0.53,6462,Mortgage,10,2,Non-Compliant,Low
88,57,Employed,38597.0,689,0.27,20905,Personal,5,0,Compliant,Low
89,38,Unemployed,47743.0,624,0.59,29920,Education,30,1,Non-Compliant,Medium
90,33,Employed,64933.0,456,0.24,21252,Personal,10,0,Compliant,Low
91,62,Self-Employed,41130.0,436,0.43,46004,Education,10,0,Compliant,High
92,35,Self-Employed,20717.0,727,0.17,45581,Education,20,0,Non-Compliant,Medium
93,64,Self-Employed,36695.0,751,0.22,39836,Mortgage,15,3,Compliant,High
94,41,Employed,56362.0,440,0.11,10753,Personal,15,4,Compliant,Low
95,43,Self-Employed,82846.0,382,0.21,45005,Education,10,2,Compliant,Low
96,42,Unemployed,31101.0,476,0.33,19175,Mortgage,5,3,Compliant,High
97,62,Unemployed,30552.0,497,0.6,11191,Education,30,3,Compliant,High
98,58,Employed,27311.0,720,0.4,22898,Education,30,4,Non-Compliant,High
99,46,Unemployed,25449.0,700,0.12,23982,Education,5,3,Compliant,Medium
100,32,Unemployed,68085.0,770,0.03,19622,Education,10,0,Non-Compliant,Low
101,62,Employed,72420.0,517,0.08,6001,Education,30,0,Compliant,High
102,18,Self-Employed,52666.0,474,0.34,48000,Education,15,1,Compliant,Low
103,42,Self-Employed,42984.0,322,0.46,28283,Mortgage,5,3,Non-Compliant,High
104,24,Self-Employed,76867.0,534,0.56,26435,Education,20,1,Non-Compliant,Low
105,26,Employed,52608.0,312,0.01,32223,Personal,10,2,Compliant,Medium
